0.800000	0.800000	S
2.400000	2.400000	S
3.548827	3.548827	S
4.960000	4.960000	S
7.130000	7.130000	S
11.040000	11.040000	S
12.850000	12.850000	S
16.500000	16.500000	S
17.770000	17.770000	S
18.732238	18.732238	 S
20.990000	20.990000	S
23.010000	23.010000	S
25.370000	25.370000	S
26.750000	26.750000	S
28.580000	28.580000	S
30.160000	30.160000	S
31.710000	31.710000	S
33.100000	33.100000	S
36.400000	36.400000	S
37.870000	37.870000	S
39.570000	39.570000	S
41.120000	41.120000	S
42.950000	42.950000	S
44.990000	44.990000	S
46.930000	46.930000	S
48.480000	48.480000	S
50.310000	50.310000	S
52.720000	52.720000	S
54.030000	54.030000	S
56.600000	56.600000	S
58.750000	58.750000	S
60.470000	60.470000	S
62.180000	62.180000	S
64.320000	64.320000	S
67.370000	67.370000	S
70.260000	70.260000	S
72.150000	72.150000	S
74.130000	74.130000	S
76.160000	76.160000	S
78.090000	78.090000	S
80.340000	80.340000	S
82.500000	82.500000	S
84.610000	84.610000	S
86.380000	86.380000	S
88.700000	88.700000	S
91.040000	91.040000	S
92.670000	92.670000	S
94.630000	94.630000	S
96.300000	96.300000	S
97.930000	97.930000	S
100.750000	100.750000	S
103.170000	103.170000	S
104.300000	104.300000	S
106.210000	106.210000	S
108.820000	108.820000	S
110.450000	110.450000	S
112.360000	112.360000	S
114.330000	114.330000	S
115.960000	115.960000	S
117.940000	117.940000	S
120.560000	120.560000	S
122.250000	122.250000	S
123.980000	123.980000	S
126.170000	126.170000	S
127.190000	127.190000	S
128.760000	128.760000	S
130.400000	130.400000	S
132.660000	132.660000	S
134.660000	134.660000	S
136.960000	136.960000	S
138.630000	138.630000	S
140.230000	140.230000	S
142.140000	142.140000	S
144.000000	144.000000	S
146.090000	146.090000	S
148.290000	148.290000	S
149.830000	149.830000	S
152.320000	152.320000	S
155.620000	155.620000	S
157.280000	157.280000	S
159.560000	159.560000	S
161.900000	161.900000	S
163.650000	163.650000	S
164.750000	164.750000	S
166.660000	166.660000	S
168.480000	168.480000	S
170.500000	170.500000	S
174.190000	174.190000	S
176.250000	176.250000	S
179.110000	179.110000	S
180.880000	180.880000	S
182.850000	182.850000	S
184.770000	184.770000	S
