354.12	354.12	62-个
355.91	355.91	62-一个
357.53	357.53	62-足濟个
359.65	359.65	63-下
361.49	361.49	63-下晡
363.42	363.42	63-下晝
365.24	365.24	63-下昏
367.05	367.05	63-下暗
368.66	368.66	63-2-下晡
370.41	370.41	63-2-下晝
372.01	372.01	63-2-下昏
373.58	373.58	63-2-下暗
375.06	375.06	64-下
376.78	376.78	64-下跤
378.65	378.65	64-一下
380.46	380.46	65-會
382.42	382.42	65-會使
386.64	386.64	65-會曉
388.26	388.26	66-下頦
390.18	390.18	66-下頦尖尖
392.27	392.27	66-落下頦
394.69	394.69	67-會當
396.21	396.21	67-會當去
397.71	397.71	68-狹
399.21	399.21	68-巷仔真狹
401.15	401.15	68-狹裙
402.89	402.89	69-礙虐
404.52	404.52	69-愈想愈礙虐
407.54	407.54	69-聽著真礙虐
410.4	410.4	70-愣
411.97	411.97	70-愣去
413.28	413.28	70-愣愣
415.11	415.11	71-𠢕
417.09	417.09	71-𠢕早
418.98	418.98	71-假𠢕
420.95	420.95	71-𠢕煮食
423.03	423.03	71-𠢕破病
425.05	425.05	72-夯
427.21	427.21	72-夯貨
429.25	429.25	72-舊症頭夯起來
432.01	432.01	73-攑
433.61	433.61	73-攑箸
435.0	435.0	73-攑頭
436.87	436.87	73-攑手
438.52	438.52	74-鋏
440.2	440.2	74-頭毛鋏仔
442.45	442.45	74-頭毛鋏予伊好
445.42	445.42	75-挾
446.56	446.56	75-挾咧
447.62	447.62	76-扲
449.53	449.53	76-扲牢牢
451.51	451.51	77-囡仔
452.92	452.92	77-查某囡仔
455.02	455.02	77-囡仔兄
456.94	456.94	78-凝
459.02	459.02	78-心肝足凝
462.03	462.03	78-凝心
464.05	464.05	79-戇
466.21	466.21	79-戇人
468.1	468.1	79-戇呆
469.9	469.9	80-我
471.25	471.25	80-是我
473.02	473.02	81-外
475.03	475.03	81-外口
476.99	476.99	81-外家
478.88	478.88	82-外
480.86	480.86	82-十外歲
482.97	482.97	82-百外个
484.99	484.99	83-阮
486.38	486.38	83-阮的
488.28	488.28	83-阮兜
490.05	490.05	84-外
491.79	491.79	84-外甥
494.16	494.16	84-員外
496.27	496.27	85-月娘
498.74	498.74	85-月娘笑阮戇大呆
502.66	502.66	85-日頭佮月娘
505.38	505.38	86-縖
506.98	506.98	86-縖褲帶
508.83	508.83	86-縖裙
511.13	511.13	87-箬
512.59	512.59	87-竹箬
514.23	514.23	87-甘蔗箬
516.27	516.27	88-合
517.6	517.6	88-個性會合
519.98	519.98	88-合軀
521.7	521.7	89-海海
523.54	523.54	89-人生海海
526.1	526.1	90-海湧
527.93	527.93	90-海湧真大
530.58	530.58	91-蚶仔
532.39	532.39	91-蚶仔湯足清甜
535.81	535.81	92-譀
536.99	536.99	92-譀古
538.89	538.89	92-譀鏡
540.11	540.11	93-陷眠
541.93	541.93	93-伊咧陷眠
544.38	544.38	94-吼
546.0	546.0	94-愛吼
547.98	547.98	94-鳥仔咧吼
549.99	549.99	95-後生
552.03	552.03	95-阮後生
554.06	554.06	95-生後生
556.44	556.44	96-彼
557.96	557.96	96-彼是我的
560.4	560.4	97-下
562.15	562.15	97-下鹽
564.02	564.02	97-下本錢
565.96	565.96	98-遐
