"編號",建議用字,音讀,又音,對應華語,用例,異用字
637,炊,tshue,tshe/tsher,蒸,"炊粿、炊粽、炊飯",
638,箠,tshuê,tshê/tshêr,竹鞭、桿,箠仔、球箠,棰
639,揣,tshuē,tshē/tshēr,找,揣物件、相揣,
640,喙,tshuì,,嘴,好喙、喙舌,嘴
641,喙䫌,tshuì-phué,tshuì-phé,臉頰,摸喙䫌,"喙䩉、嘴䩉"
642,喙脣,tshuì-tûn,,嘴脣,喙脣焦焦,嘴唇
643,賰,tshun,,剩、有餘,"賰偌濟、時間賰偌久、有賰",偆、伸
644,糍,tsî,,麻糬,麻糍,餈、粢
645,遮,tsia,tsiâ,這、這裡,佇遮,這
646,遮的,tsia--ê,tsua--ê,這些,遮的予你,遮个
647,遮的,tsia ê,,這裡的,遮的人,遮个
648,才,tsiah,,才,"到今你才知、拄才",則、即
649,遮,tsiah,,這麼,遮緊,即
650,遮爾,tsiah-nī,,多麼、這麼,"遮爾媠、遮爾大","遮呢、這呢、即爾"
651,食,tsia̍h,,吃、喝,食穿、食茶,噍、吃
652,針黹,tsiam-tsí,,女紅、針黹,"教查某囝做針黹、針黹真幼路",
653,煎,tsian,,"油煎、油煎食品","煎魚仔、煎卵、蚵仔煎",
654,汫,tsiánn,,"(味道)淡、(個性)軟弱","鹹汫、汫水、軟汫",𩟗
655,誠,tsiânn,,很、非常,誠貴、誠好,
656,成,tsiânn,,成,成人、成百个,
657,照起工,tsiàu-khí-kang,,按部就班,"照起工做、照起工來",照紀綱
658,寂寞,tsik̍-bo̍k,"siok-bo̍k/tsı̍t-bo̍k",寂寞,寂寞的心情,
659,唚,tsim,,親嘴、吻,相唚、唚喙䫌,
660,斟酌,tsim-tsiok,,仔細、留意,"斟酌看、小斟酌一下",
661,舂,tsing,,揍、撞、搗,"相舂、舂著壁、舂米",
662,從,tsîng,tsn̂g,自......,"從細漢、從到今",
663,櫼,tsinn,,"(硬塞)進去、擠進去、楔子",櫼入去、櫼仔,掙
664,茈,tsínn,tsí,幼、嫩,茈薑、幼茈,芓、嫩
665,糋,tsìnn,,"油炸、油炸食品","糋甜粿、豆乾糋",
666,舐,tsīnn,tsn̄g/tsuīnn/tsī,舔,"舐指頭仔、舐枝仔冰、舐盤仔",
667,少,tsió,,少,少數、至少,
668,這,tsit,,這,這陣,今、即
669,這馬,tsit-má,"tsit-mái/tsit-muá",現在,"這馬隨來去、這馬幾點","即馬、這碼、職馬、這嘛"
670,一寡(仔),tsı̍t-kuá(-á),,少許、一些,"一寡物件、一寡仔錢",
671,守,tsiú,,守,守空房、守寡,
672,咒誓,tsiù-tsuā,,發誓、詛咒,"毋通凊彩咒誓、咒誓予別人死",
673,就,tsiū,,就、遷就,"成就、就業、我就伊",
674,螿蜍,tsiunn-tsî,"tsionn-tsî/tsiong-tsîr/tsiunn-tsû/tsiong-tsû","蟾蜍、癩蝦蟆","螿蜍有毒性、螿蜍展氣功",螿蠩
675,做伙,tsò-hué,"tsuè-hé、tserè-hér",一起,"做伙耍、做伙來去","做夥、作夥"
676,作穡,tsoh-sit,,種田、工作,"作穡人、認真作穡",做穡
677,昨日,tso̍h--jı̍t,"tso̍h--lı̍t/tso̍h--gı̍t",前天,昨日我拄著伊,
678,苴,tsū,,墊子、墊,"椅苴仔、苴枋、尿苴仔、苴報紙",
679,逝,tsuā,,"趟、(路)程、行、列","行一逝、一逝路、寫一逝",
680,煎,tsuann,,燒開、煎煮,煎茶、煎藥仔,
681,炸,tsuànn,,炸油、吹牛,"炸豬油、烏白炸",
682,水雞,tsuí-ke,"suí-kue/suí-ke/suí-kere",青蛙,"釣水雞、炒水雞、水雞跳真遠",
683,陣,tsūn,,陣、時候,一陣風、時陣,
684,拄,tú,,抵、遇到,"拄著貴人、相拄",抵
685,注,tù,,"賭注、筆(量詞)","硩注、拚孤注、一注錢",
686,駐,tū,,沉浸,駐水、駐死,
687,蹛,tuà,,在、住,"蹛飯店、蹛佇遮",帶、滯
688,"(大)肚胿仔",(tuā-)tōo-kuai-á,(tuā-)tōo-kui-á,蝌蚪,"水池仔足濟肚胿仔",
689,綴,tuè,tè/tèr,跟、隨,"綴人講、綴人時行、綴袂著陣",
690,盹龜,tuh-ku,,打瞌睡,上課盹龜,"拄龜、拄痀、盹眗"
691,揬,tu̍h,,戳、刺,揬破、揬一空,
692,倚,uá,,靠近、依靠,"倚晝、相倚、倚靠",
693,冤家,uan-ke,,爭吵、仇人,"冤家相拍、冤家變親家",怨家
694,怨嘆,uàn-thàn,,怨恨悲嘆,"怨嘆月暝、毋免怨嘆",
695,晏,uànn,,晚、遲,晏睏、晏起來,
696,斡,uat,,轉彎,"斡正爿、彎彎斡斡",
697,越,ua̍t,,轉、回轉,越頭、越轉身,斡
698,揻,ui,,"用尖物旋轉鑽孔",親像針咧揻,
699,搵,ùn,,蘸、沾,搵豆油、搵料,
700,鬱卒,ut-tsut,,抑鬱、苦悶,有夠鬱卒,
