"編號",建議用字,音讀,又音,對應華語,用例,異用字
350,擽,ngiau,,"搔(癢)、癢(的感覺)","驚人擽、心內擽擽",搔
351,拈,ni,,拈、取,"偷拈、桌頂拈柑",
352,鳥鼠,niáu-tshí,"niáu-tshír、niáu-tshú、nóo-tshír",老鼠,"飼鳥鼠咬布袋、鳥鼠仔冤",
353,娘囝,niû-kiánn,niô-kiánn,娘子、妻子,好娘囝,娘子
354,軁,nǹg,,穿過、鑽營,軁磅空、軁鑽,鑽
355,卵,nn̄g,nuī,蛋,"雞卵、鴨卵、卵仁",
356,撋,nuá,,"(用力)推揉、搓洗","撋粿、撋鹹菜、撋衫",
357,瀾,nuā,,口水,流喙瀾、收瀾,涎
358,呵咾,o-ló,,讚美,"呵咾學生、予人呵咾","阿咾、謳咾"
359,蚵,ô,,蠔、牡蠣,"蚵仔麵線、蚵仔煎",蠔
360,僫,oh,,"困難、不容易、慢","真僫、僫講、行路較僫到",
361,烏,oo,,黑,烏枋、烏人,
362,烏暗,oo-àm,,"黑暗、不明亮","社會烏暗、天色烏暗",
363,挖,óo,ué,挖、掘,挖空、挖耳空,
364,爸,pa,pâ、pah,爸,阿爸、爸爸,
365,瓶,pân,,瓶,"花瓶、酒瓶、水瓶",
366,範勢,pān-sè,,情況,"看範勢伊袂來矣、看範勢才閣講",
367,枋,pang,,"木板、板狀物","枋仔、枋寮、紙枋、鐵枋",
368,爸,pē,,爸,爸母、老爸,
369,擘,peh,,剝開、睜開,"擘柑仔、目睭擘金",
370,葩,pha,,盞、串,"一葩電火、兩葩葡萄",
371,拍,phah,,"打、製造、刮除","拍鼓、拍鎖匙、拍鱗",打、扑
372,拍呃,phah-eh,,"呃逆、噯氣、打嗝",無食假拍呃,"拍嗝、扑呃"
373,拍算,phah-sǹg,,打算、也許,"拍算欲去日本、拍算會落雨",扑算
374,歹,pháinn,phái,壞、惡、難,"歹腹肚、歹聲嗽、歹講",
375,歹勢,pháinn-sè,phái-sì,"不好意思、害羞",驚歹勢,
376,揹,phāinn,,背(物),"揹冊包、揹物件",
377,芳,phang,,香,花真芳、米芳,香
378,捀,phâng,,端,捀茶、捀菜,
379,冇,phànn,,"不紮實、不實","冇冇、冇柴、冇粟、冇數",
380,抨,phiann,piann,丟、扔、摔,"物件四界抨、抨椅仔",
381,𥰔仔,phín-á,,笛子,歕𥰔仔,品仔
382,鼻,phīnn,phī,"鼻子、聞、鼻涕","鼻空、鼻看覓、流鼻",
383,粕,phoh,,粕、殘渣,"甘蔗粕、檳榔粕",
384,豐沛,phong-phài,phang-phài,豐盛,攢甲真豐沛,
385,捧,phóng,,捧,捧水、捧米,
386,膨,phòng,,"膨、鼓脹、蓬鬆","膨紗、膨皮、膨鼠",胖
387,蘋果,phōng-kó,,蘋果,"蘋果欉、蘋果汁",蓬果
388,鋪,phoo,,鋪、床鋪,"鋪地毯、鋪路、總鋪",
389,舖,phòo,,"舖、單位詞(十華里為一舖)","店舖、總舖師、一舖路",
390,扶,phôo,,托著、巴結,"扶起來、扶頂司",
391,殕,phú,,"霉、灰色、灰暗不明的","臭殕、殕色、殕殕",
392,批,phue,phe,信,"一張批信、限時批",
393,呸,phuì,,"吐、翻臉、呸","呸痰、起呸面、呸呸呸",
394,潘,phun,,"淘米水、餿水","潘愛回收、米潘",
395,觱,pi,,哨子,歕觱仔,
396,煏,piak,,炸、爆、裂,"煏豬油、煏豆仔、煏開",
397,便所,piān-sóo,,廁所,"掃便所、便所邊",
398,摒,piànn,,打掃、倒,"摒房間、摒糞埽",
399,拚,piànn,,拚,拍拚、拚命,
400,撆,pih,,"(將袖子或褲管)挽起","撆手䘼、撆褲跤",彆
401,貧惰,pîn-tuānn,"pûn-tuānn、pân-tuānn",懶惰,"貧惰人、貧惰骨",貧憚
402,反,píng,,反轉,倒反、反爿,
403,爿,pîng,,邊,正爿、倒爿,旁
404,保庇,pó-pì,,保護庇佑,求神保庇,
405,碰,pōng,,碰撞,相碰,
406,磅,pōng,,磅秤、秤重,磅仔、磅重,
407,磅米芳,pōng-bí-phang,,爆米花,"巷仔口咧磅米芳",
408,磅空,pōng-khang,,山洞,過磅空,
409,磅子,pōng-tsí,,砝碼,"這粒是偌重的磅子",
410,埔,poo,,"平地、沙洲、野地","草埔、海沙埔、墓仔埔",
411,脯,póo,,"(魚、肉、菜)乾、乾癟","魚脯、菜脯、脯脯",
412,富,pù,,富,大富、富死,
413,盤,puânn,,轉換、翻越,"盤車、盤山過嶺、盤牆仔",蹣
414,盤撋,puânn-nuá,,交際、交往,佮人盤撋,蹣撋
415,"菠薐仔(菜)","pue-lîng-á(-tshài)","pe-lîng-á(-tshài)",菠菜,"菠薐仔(菜)煮豬肝",
416,掰,pué,,撥、拂,掰頭鬃、掰走,㧳
417,培墓,puē-bōng,"pē-bōo、pēr-bōo",掃墓,清明培墓,
418,糞埽,pùn-sò,,垃圾,"糞埽桶、清糞埽",
419,歕,pûn,,吹,歕風、歕鼓吹,噴
420,捎,sa,,抓取、拿,"烏白捎、捎無總、捎錢",
421,煠,sa̍h,,白煮,"煠卵、煠肉、煠麵",
422,捒,sak,,棄、推,"放捒、捒車、捒做堆",搡
