27,䆀,bái,,不好、醜,心情䆀、環境䆀、真䆀,,[sound:minnan700-27-䆀.mp3],[sound:minnan700-27-心情䆀.mp3],[sound:minnan700-27-環境䆀.mp3],[sound:minnan700-27-真䆀.mp3],,,閩南語
28,目,ba̍k,,眼,目鏡、目眉,,[sound:minnan700-28-目.mp3],[sound:minnan700-28-目鏡.mp3],[sound:minnan700-28-目眉.mp3],,,,閩南語
29,茉莉,ba̍k-nī,bāng-lē,茉莉,六月茉莉真清芳,,[sound:minnan700-29-茉莉.mp3],[sound:minnan700-29-六月茉莉真清芳.mp3],,,,,閩南語
30,目屎,ba̍k-sái,,眼淚,傷心流目屎,,[sound:minnan700-30-目屎.mp3],[sound:minnan700-30-傷心流目屎.mp3],,,,,閩南語
31,挽,bán,,摘、採、採摘,挽花、挽茶、挽果子,,[sound:minnan700-31-挽.mp3],[sound:minnan700-31-挽花.mp3],[sound:minnan700-31-挽茶.mp3],[sound:minnan700-31-挽果子.mp3],,,閩南語
32,蠻皮,bân-phuê,bân-phê、bân-phêr,頑強不化,你真蠻皮,慢皮,[sound:minnan700-32-蠻皮.mp3],[sound:minnan700-32-你真蠻皮.mp3],,,,,閩南語
33,慢且,bān-tshiánn,,等一下、稍待片刻,慢且是、慢且講、慢且咧,,[sound:minnan700-33-慢且.mp3],[sound:minnan700-33-慢且是.mp3],[sound:minnan700-33-慢且講.mp3],[sound:minnan700-33-慢且咧.mp3],,,閩南語
34,蠓,báng,,蚊子,蠓仔、蠓罩,蚊,[sound:minnan700-34-蠓.mp3],[sound:minnan700-34-蠓仔.mp3],[sound:minnan700-34-蠓罩.mp3],,,,閩南語
35,茫,bâng,bông,神智不清、模糊不清,啉甲醉茫茫、白茫茫,濛,[sound:minnan700-35-茫.mp3],[sound:minnan700-35-啉甲醉茫茫.mp3],[sound:minnan700-35-白茫茫.mp3],,,,閩南語
36,捌,bat,pat,認識、曾經,捌字、捌去,,[sound:minnan700-36-捌.mp3],[sound:minnan700-36-捌字.mp3],[sound:minnan700-36-捌去.mp3],,,,閩南語
37,密,ba̍t,,密,草仔發甲真密、密密密,,[sound:minnan700-37-密.mp3],[sound:minnan700-37-草仔發甲真密.mp3],[sound:minnan700-37-密密密.mp3],,,,閩南語
38,袂,bē,buē,不、不能、不會,袂食袂睏、袂行、袂來,𣍐,[sound:minnan700-38-袂.mp3],[sound:minnan700-38-袂食袂睏.mp3],[sound:minnan700-38-袂行.mp3],[sound:minnan700-38-袂來.mp3],,,閩南語
39,袂當,bē-tàng,buē-tàng,不行、不能、不可以,袂當去、袂當繼續,袂凍,[sound:minnan700-39-袂當.mp3],[sound:minnan700-39-袂當去.mp3],[sound:minnan700-39-袂當繼續.mp3],,,,閩南語
40,欲,beh,bueh、berh,要、如果、快要,欲食飯、欲知、強欲,要、卜,[sound:minnan700-40-欲.mp3],[sound:minnan700-40-欲食飯.mp3],[sound:minnan700-40-欲知.mp3],[sound:minnan700-40-強欲.mp3],,,閩南語
41,眯,bî,,小睡、瞄,小眯一下、予我眯著,瞇,[sound:minnan700-41-眯.mp3],[sound:minnan700-41-小眯一下.mp3],[sound:minnan700-41-予我眯著.mp3],,,,閩南語
42,微,bî,,微、細小、輕微,風微微仔吹、微微仔笑,,[sound:minnan700-42-微.mp3],[sound:minnan700-42-風微微仔吹.mp3],[sound:minnan700-42-微微仔笑.mp3],,,,閩南語
43,沬,bī,,潛水,沬水,,[sound:minnan700-43-沬.mp3],[sound:minnan700-43-沬水.mp3],,,,,閩南語
44,覕,bih,,躲藏,覕雨、覕相揣,匿、宓,[sound:minnan700-44-覕.mp3],[sound:minnan700-44-覕雨.mp3],[sound:minnan700-44-覕相揣.mp3],,,,閩南語
